,index,pop_iconicity,pop_lex_var,current_step,lg_form_success,lg_meaning_success,lg_bit_update
0,0,0.9560000000000001,0.9377777777777777,0,,,
1,1,0.953,0.9466666666666667,1,4.0,1.0,5.0
2,2,0.9490000000000001,0.9466666666666667,2,6.0,0.0,4.0
3,3,0.9400000000000001,0.951111111111111,3,1.0,0.0,9.0
4,4,0.9350000000000002,0.9533333333333335,4,3.0,2.0,5.0
5,5,0.929,0.9644444444444444,5,4.0,0.0,6.0
6,6,0.924,0.9666666666666667,6,1.0,2.0,7.0
7,7,0.9179999999999999,0.9644444444444444,7,4.0,0.0,6.0
8,8,0.913,0.9666666666666667,8,4.0,1.0,5.0
9,9,0.908,0.9755555555555557,9,1.0,2.0,7.0
10,10,0.9019999999999999,0.9777777777777777,10,2.0,0.0,8.0
11,11,0.899,0.982222222222222,11,3.0,0.0,7.0
12,12,0.897,0.9844444444444442,12,4.0,0.0,6.0
13,13,0.893,0.982222222222222,13,3.0,1.0,6.0
14,14,0.8900000000000002,0.982222222222222,14,4.0,1.0,5.0
15,15,0.884,0.9844444444444443,15,3.0,1.0,6.0
16,16,0.8780000000000001,0.9866666666666665,16,1.0,1.0,8.0
17,17,0.8720000000000001,0.9866666666666665,17,4.0,0.0,6.0
18,18,0.866,0.9844444444444443,18,4.0,0.0,6.0
19,19,0.866,0.9844444444444443,19,4.0,2.0,4.0
20,20,0.859,0.9844444444444443,20,0.0,1.0,9.0
21,21,0.8559999999999999,0.9844444444444443,21,0.0,1.0,9.0
22,22,0.851,0.9866666666666665,22,3.0,2.0,5.0
23,23,0.849,0.9866666666666665,23,3.0,3.0,4.0
24,24,0.845,0.9844444444444443,24,1.0,1.0,8.0
25,25,0.8390000000000001,0.9822222222222221,25,3.0,1.0,6.0
26,26,0.8370000000000001,0.9866666666666666,26,2.0,0.0,8.0
27,27,0.833,0.9866666666666666,27,2.0,0.0,8.0
28,28,0.8300000000000001,0.9866666666666666,28,3.0,2.0,5.0
29,29,0.828,0.9866666666666666,29,4.0,2.0,4.0
30,30,0.826,0.9866666666666666,30,5.0,1.0,4.0
31,31,0.8200000000000001,0.9888888888888889,31,4.0,0.0,6.0
32,32,0.8160000000000001,0.9866666666666666,32,1.0,1.0,8.0
33,33,0.8140000000000001,0.9866666666666666,33,4.0,0.0,6.0
34,34,0.8100000000000002,0.9911111111111109,34,2.0,2.0,6.0
35,35,0.804,0.9933333333333333,35,1.0,1.0,8.0
36,36,0.8019999999999999,0.9955555555555555,36,5.0,1.0,4.0
37,37,0.8020000000000002,0.9955555555555555,37,4.0,2.0,4.0
38,38,0.796,0.9977777777777778,38,4.0,0.0,6.0
39,39,0.7899999999999999,0.9955555555555555,39,3.0,1.0,6.0
40,40,0.783,0.9977777777777778,40,1.0,0.0,9.0
41,41,0.778,0.9955555555555555,41,4.0,1.0,5.0
42,42,0.7750000000000001,0.9911111111111112,42,2.0,1.0,7.0
43,43,0.769,0.9933333333333333,43,1.0,1.0,8.0
44,44,0.7670000000000001,0.9933333333333333,44,8.0,0.0,2.0
45,45,0.7649999999999999,0.9933333333333333,45,2.0,0.0,8.0
46,46,0.763,0.9933333333333333,46,2.0,2.0,6.0
47,47,0.761,0.9888888888888887,47,6.0,2.0,2.0
48,48,0.754,0.9911111111111109,48,1.0,0.0,9.0
49,49,0.75,0.9911111111111109,49,4.0,2.0,4.0
50,50,0.748,0.9911111111111109,50,3.0,3.0,4.0
51,51,0.7470000000000001,0.9911111111111109,51,2.0,5.0,3.0
52,52,0.7460000000000001,0.9911111111111109,52,5.0,0.0,5.0
